"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-24",,"69","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-25",,"69","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-26",,"69","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-27",,"71","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-28",,"70","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-29",,"74","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-30",,"71","60",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-31",,"71","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-01",,"68","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-02",,"70","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-03",,"69","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-04",,"70","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-05",,"67","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-06",,"66","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-07",,"73","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-08",,"73","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-09",,"74","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-10",,"76","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-11",,"71","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-12",,"68","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-13",,"68","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-14",,"71","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-15",,"67","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-16",,"71","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-17",,"66","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-18",,"67","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-19",,"74","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-20",,"86","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-21",,"73","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-22",,"67","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-23",,"70","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-24",,"76","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-25",,"70","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-26",,"77","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-27",,"66","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-28",,"67","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-29",,"71","59",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-09-30",,"74","59",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-01",,"76","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-02",,"77","63",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-03",,"75","61",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-04",,"70","59",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-05",,"72","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-06",,"74","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-07",,"84","62",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-08",,"81","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-09",,"71","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-10",,"68","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-11",,"70","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-12",,"78","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-13",,"70","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-14",,"72","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-15",,"77","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-16",,"74","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-17",,"69","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-18",,"71","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-19",,"77","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-20",,"69","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-10-21",,"65","50",
